x1-y1-z1-v1,PoseLandmark.NOSE
x2-y2-z2-v2,PoseLandmark.LEFT_EYE_INNER
x3-y3-z3-v3,PoseLandmark.LEFT_EYE
x4-y4-z4-v4,PoseLandmark.LEFT_EYE_OUTER
x5-y5-z5-v5,PoseLandmark.RIGHT_EYE_INNER
x6-y6-z6-v6,PoseLandmark.RIGHT_EYE
x7-y7-z7-v7,PoseLandmark.RIGHT_EYE_OUTER
x8-y8-z8-v8,PoseLandmark.LEFT_EAR
x9-y9-z9-v9,PoseLandmark.RIGHT_EAR
x10-y10-z10-v10,PoseLandmark.MOUTH_LEFT
x11-y11-z11-v11,PoseLandmark.MOUTH_RIGHT
x12-y12-z12-v12,PoseLandmark.LEFT_SHOULDER
x13-y13-z13-v13,PoseLandmark.RIGHT_SHOULDER
x14-y14-z14-v14,PoseLandmark.LEFT_ELBOW
x15-y15-z15-v15,PoseLandmark.RIGHT_ELBOW
x16-y16-z16-v16,PoseLandmark.LEFT_WRIST
x17-y17-z17-v17,PoseLandmark.RIGHT_WRIST
x18-y18-z18-v18,PoseLandmark.LEFT_PINKY
x19-y19-z19-v19,PoseLandmark.RIGHT_PINKY
x20-y20-z20-v20,PoseLandmark.LEFT_INDEX
x21-y21-z21-v21,PoseLandmark.RIGHT_INDEX
x22-y22-z22-v22,PoseLandmark.LEFT_THUMB
x23-y23-z23-v23,PoseLandmark.RIGHT_THUMB
x24-y24-z24-v24,PoseLandmark.LEFT_HIP
x25-y25-z25-v25,PoseLandmark.RIGHT_HIP
x26-y26-z26-v26,PoseLandmark.LEFT_KNEE
x27-y27-z27-v27,PoseLandmark.RIGHT_KNEE
x28-y28-z28-v28,PoseLandmark.LEFT_ANKLE
x29-y29-z29-v29,PoseLandmark.RIGHT_ANKLE
x30-y30-z30-v30,PoseLandmark.LEFT_HEEL
x31-y31-z31-v31,PoseLandmark.RIGHT_HEEL
x32-y32-z32-v32,PoseLandmark.LEFT_FOOT_INDEX
x33-y33-z33-v33,PoseLandmark.RIGHT_FOOT_INDEX
